# Gaussian distribution
# mean (nm) = 5.94
# sigma (nm) = 0.78
# columns: x_nm	pdf
2.820000	1.715772125191e-04
2.826240	1.771508065209e-04
2.832480	1.828937501689e-04
2.838720	1.888107865176e-04
2.844960	1.949067782613e-04
2.851200	2.011867103404e-04
2.857440	2.076556925913e-04
2.863680	2.143189624412e-04
2.869920	2.211818876491e-04
2.876160	2.282499690911e-04
2.882400	2.355288435929e-04
2.888640	2.430242868080e-04
2.894880	2.507422161427e-04
2.901120	2.586886937289e-04
2.907360	2.668699294432e-04
2.913600	2.752922839748e-04
2.919840	2.839622719409e-04
2.926080	2.928865650509e-04
2.932320	3.020719953186e-04
2.938560	3.115255583247e-04
2.944800	3.212544165267e-04
2.951040	3.312659026202e-04
2.957280	3.415675229482e-04
2.963520	3.521669609619e-04
2.969760	3.630720807305e-04
2.976000	3.742909305019e-04
2.982240	3.858317463137e-04
2.988480	3.977029556555e-04
2.994720	4.099131811809e-04
3.000960	4.224712444713e-04
3.007200	4.353861698508e-04
3.013440	4.486671882516e-04
3.019680	4.623237411310e-04
3.025920	4.763654844397e-04
3.032160	4.908022926408e-04
3.038400	5.056442627810e-04
3.044640	5.209017186118e-04
3.050880	5.365852147630e-04
3.057120	5.527055409663e-04
3.063360	5.692737263302e-04
3.069600	5.863010436665e-04
3.075840	6.037990138658e-04
3.082080	6.217794103252e-04
3.088320	6.402542634252e-04
3.094560	6.592358650567e-04
3.100800	6.787367731986e-04
3.107040	6.987698165437e-04
3.113280	7.193480991741e-04
3.119520	7.404850052862e-04
3.125760	7.621942039623e-04
3.132000	7.844896539920e-04
3.138240	8.073856087394e-04
3.144480	8.308966210583e-04
3.150720	8.550375482532e-04
3.156960	8.798235570866e-04
3.163200	9.052701288308e-04
3.169440	9.313930643649e-04
3.175680	9.582084893150e-04
3.181920	9.857328592384e-04
3.188160	1.013982964849e-03
3.194400	1.042975937284e-03
3.200640	1.072729253416e-03
3.206880	1.103260741193e-03
3.213120	1.134588585035e-03
3.219360	1.166731331249e-03
3.225600	1.199707893497e-03
3.231840	1.233537558289e-03
3.238080	1.268239990518e-03
3.244320	1.303835239019e-03
3.250560	1.340343742173e-03
3.256800	1.377786333530e-03
3.263040	1.416184247469e-03
3.269280	1.455559124881e-03
3.275520	1.495933018883e-03
3.281760	1.537328400557e-03
