# Gaussian distribution
# mean (nm) = 2.69
# sigma (nm) = 0.08
# columns: x_nm	pdf
2.370000	1.672877822061e-03
2.370640	1.727220363579e-03
2.371280	1.783214064147e-03
2.371920	1.840905168546e-03
2.372560	1.900341088048e-03
2.373200	1.961570425819e-03
2.373840	2.024643002765e-03
2.374480	2.089609883802e-03
2.375120	2.156523404578e-03
2.375760	2.225437198638e-03
2.376400	2.296406225031e-03
2.377040	2.369486796378e-03
2.377680	2.444736607392e-03
2.378320	2.522214763857e-03
2.378960	2.601981812072e-03
2.379600	2.684099768755e-03
2.380240	2.768632151424e-03
2.380880	2.855644009246e-03
2.381520	2.945201954357e-03
2.382160	3.037374193666e-03
2.382800	3.132230561136e-03
2.383440	3.229842550547e-03
2.384080	3.330283348745e-03
2.384720	3.433627869379e-03
2.385360	3.539952787123e-03
2.386000	3.649336572393e-03
2.386640	3.761859526559e-03
2.387280	3.877603817641e-03
2.387920	3.996653516514e-03
2.388560	4.119094633595e-03
2.389200	4.245015156046e-03
2.389840	4.374505085453e-03
2.390480	4.507656476028e-03
2.391120	4.644563473287e-03
2.391760	4.785322353248e-03
2.392400	4.930031562115e-03
2.393040	5.078791756465e-03
2.393680	5.231705843940e-03
2.394320	5.388879024421e-03
2.394960	5.550418831720e-03
2.395600	5.716435175748e-03
2.396240	5.887040385192e-03
2.396880	6.062349250671e-03
2.397520	6.242479068395e-03
2.398160	6.427549684303e-03
2.398800	6.617683538687e-03
2.399440	6.813005711301e-03
2.400080	7.013643966948e-03
2.400720	7.219728801540e-03
2.401360	7.431393488633e-03
2.402000	7.648774126422e-03
2.402640	7.872009685209e-03
2.403280	8.101242055318e-03
2.403920	8.336616095469e-03
2.404560	8.578279681594e-03
2.405200	8.826383756101e-03
2.405840	9.081082377558e-03
2.406480	9.342532770822e-03
2.407120	9.610895377574e-03
2.407760	9.886333907276e-03
2.408400	1.016901538852e-02
2.409040	1.045911022080e-02
2.409680	1.075679222663e-02
2.410320	1.106223870409e-02
2.410960	1.137563047968e-02
2.411600	1.169715196159e-02
2.412240	1.202699119332e-02
2.412880	1.236533990755e-02
2.413520	1.271239358043e-02
2.414160	1.306835148619e-02
2.414800	1.343341675192e-02
2.415440	1.380779641282e-02
2.416080	1.419170146759e-02
2.416720	1.458534693411e-02
2.417360	1.498895190543e-02
2.418000	1.540273960591e-02
2.418640	1.582693744762e-02
2.419280	1.626177708691e-02
2.419920	1.670749448122e-02
2.420560	1.716432994600e-02
2.421200	1.763252821177e-02
2.421840	1.811233848140e-02
2.422480	1.860401448738e-02
2.423120	1.910781454931e-02
2.423760	1.962400163133e-02
2.424400	2.015284339971e-02
2.425040	2.069461228043e-02
2.425680	2.124958551674e-02
2.426320	2.181804522680e-02
2.426960	2.240027846116e-02
2.427600	2.299657726030e-02
2.428240	2.360723871200e-02
2.428880	2.423256500864e-02
2.429520	2.487286350440e-02
2.430160	2.552844677224e-02
2.430800	2.619963266072e-02
2.431440	2.688674435066e-02
2.432080	2.759011041144e-02
2.432720	2.831006485721e-02
2.433360	2.904694720260e-02
2.434000	2.980110251831e-02
2.434640	3.057288148617e-02
2.435280	3.136264045392e-02
2.435920	3.217074148956e-02
2.436560	3.299755243521e-02
2.437200	3.384344696051e-02
2.437840	3.470880461554e-02
2.438480	3.559401088315e-02
2.439120	3.649945723069e-02
2.439760	3.742554116118e-02
2.440400	3.837266626381e-02
2.441040	3.934124226370e-02
2.441680	4.033168507102e-02
2.442320	4.134441682923e-02
2.442960	4.237986596268e-02
2.443600	4.343846722319e-02
2.444240	4.452066173588e-02
2.444880	4.562689704404e-02
2.445520	4.675762715302e-02
2.446160	4.791331257314e-02
2.446800	4.909442036156e-02
2.447440	5.030142416306e-02
2.448080	5.153480424967e-02
2.448720	5.279504755920e-02
2.449360	5.408264773244e-02
2.450000	5.539810514923e-02
2.450640	5.674192696312e-02
2.451280	5.811462713478e-02
2.451920	5.951672646389e-02
2.452560	6.094875261972e-02
