# Gaussian distribution
# mean (nm) = 3.34
# sigma (nm) = 0.17
# columns: x_nm	pdf
2.660000	7.872366221464e-04
2.661360	8.128095828606e-04
2.662720	8.391595595986e-04
2.664080	8.663083146100e-04
2.665440	8.942781590813e-04
2.666800	9.230919650914e-04
2.668160	9.527731777716e-04
2.669520	9.833458276713e-04
2.670880	1.014834543331e-03
2.672240	1.047264564065e-03
2.673600	1.080661752956e-03
2.674960	1.115052610060e-03
2.676320	1.150464285831e-03
2.677680	1.186924594756e-03
2.679040	1.224462029210e-03
2.680400	1.263105773532e-03
2.681760	1.302885718317e-03
2.683120	1.343832474939e-03
2.684480	1.385977390286e-03
2.685840	1.429352561725e-03
2.687200	1.473990852299e-03
2.688560	1.519925906140e-03
2.689920	1.567192164115e-03
2.691280	1.615824879708e-03
2.692640	1.665860135116e-03
2.694000	1.717334857597e-03
2.695360	1.770286836028e-03
2.696720	1.824754737714e-03
2.698080	1.880778125418e-03
2.699440	1.938397474633e-03
2.700800	1.997654191080e-03
2.702160	2.058590628449e-03
2.703520	2.121250106366e-03
2.704880	2.185676928606e-03
2.706240	2.251916401528e-03
2.707600	2.320014852760e-03
2.708960	2.390019650101e-03
2.710320	2.461979220677e-03
2.711680	2.535943070316e-03
2.713040	2.611961803162e-03
2.714400	2.690087141529e-03
2.715760	2.770371945973e-03
2.717120	2.852870235610e-03
2.718480	2.937637208657e-03
2.719840	3.024729263201e-03
2.721200	3.114204018205e-03
2.722560	3.206120334730e-03
2.723920	3.300538337387e-03
2.725280	3.397519436019e-03
2.726640	3.497126347592e-03
2.728000	3.599423118316e-03
2.729360	3.704475145981e-03
2.730720	3.812349202503e-03
2.732080	3.923113456691e-03
2.733440	4.036837497221e-03
2.734800	4.153592355812e-03
2.736160	4.273450530615e-03
2.737520	4.396486009798e-03
2.738880	4.522774295329e-03
2.740240	4.652392426953e-03
2.741600	4.785419006364e-03
2.742960	4.921934221554e-03
2.744320	5.062019871357e-03
2.745680	5.205759390159e-03
2.747040	5.353237872789e-03
2.748400	5.504542099573e-03
2.749760	5.659760561562e-03
2.751120	5.818983485904e-03
2.752480	5.982302861381e-03
2.753840	6.149812464089e-03
2.755200	6.321607883257e-03
2.756560	6.497786547211e-03
2.757920	6.678447749452e-03
2.759280	6.863692674875e-03
2.760640	7.053624426085e-03
2.762000	7.248348049841e-03
2.763360	7.447970563585e-03
2.764720	7.652600982076e-03
2.766080	7.862350344105e-03
2.767440	8.077331739292e-03
2.768800	8.297660334949e-03
2.770160	8.523453403009e-03
2.771520	8.754830347004e-03
2.772880	8.991912729089e-03
2.774240	9.234824297098e-03
2.775600	9.483691011630e-03
2.776960	9.738641073142e-03
2.778320	9.999804949055e-03
2.779680	1.026731540085e-02
2.781040	1.054130751114e-02
2.782400	1.082191871073e-02
2.783760	1.110928880565e-02
2.785120	1.140356000407e-02
2.786480	1.170487694325e-02
2.787840	1.201338671635e-02
2.789200	1.232923889916e-02
2.790560	1.265258557678e-02
2.791920	1.298358137009e-02
2.793280	1.332238346221e-02
2.794640	1.366915162475e-02
2.796000	1.402404824391e-02
2.797360	1.438723834643e-02
2.798720	1.475888962537e-02
2.800080	1.513917246568e-02
2.801440	1.552825996951e-02
2.802800	1.592632798142e-02
2.804160	1.633355511320e-02
2.805520	1.675012276854e-02
2.806880	1.717621516738e-02
2.808240	1.761201936997e-02
2.809600	1.805772530062e-02
2.810960	1.851352577115e-02
2.812320	1.897961650401e-02
2.813680	1.945619615493e-02
2.815040	1.994346633538e-02
2.816400	2.044163163444e-02
2.817760	2.095089964041e-02
2.819120	2.147148096190e-02
2.820480	2.200358924848e-02
2.821840	2.254744121089e-02
2.823200	2.310325664073e-02
2.824560	2.367125842967e-02
2.825920	2.425167258808e-02
2.827280	2.484472826315e-02
2.828640	2.545065775644e-02
2.830000	2.606969654081e-02
2.831360	2.670208327676e-02
2.832720	2.734805982813e-02
2.834080	2.800787127712e-02
2.835440	2.868176593869e-02
2.836800	2.936999537419e-02
2.838160	3.007281440432e-02
2.839520	3.079048112131e-02
2.840880	3.152325690038e-02
2.842240	3.227140641035e-02
2.843600	3.303519762348e-02
2.844960	3.381490182446e-02
2.846320	3.461079361855e-02
2.847680	3.542315093881e-02
2.849040	3.625225505245e-02
2.850400	3.709839056627e-02
2.851760	3.796184543107e-02
2.853120	3.884291094515e-02
2.854480	3.974188175683e-02
2.855840	4.065905586580e-02
2.857200	4.159473462364e-02
2.858560	4.254922273306e-02
2.859920	4.352282824613e-02
2.861280	4.451586256143e-02
2.862640	4.552864041995e-02
2.864000	4.656147989988e-02
2.865360	4.761470241020e-02
2.866720	4.868863268299e-02
2.868080	4.978359876460e-02
2.869440	5.089993200543e-02
2.870800	5.203796704845e-02
2.872160	5.319804181648e-02
2.873520	5.438049749798e-02
2.874880	5.558567853156e-02
2.876240	5.681393258909e-02
2.877600	5.806561055736e-02
2.878960	5.934106651831e-02
2.880320	6.064065772776e-02
2.881680	6.196474459272e-02
2.883040	6.331369064710e-02
2.884400	6.468786252592e-02
2.885760	6.608762993792e-02
2.887120	6.751336563667e-02
2.888480	6.896544538995e-02
2.889840	7.044424794757e-02
2.891200	7.195015500752e-02
2.892560	7.348355118040e-02
2.893920	7.504482395222e-02
2.895280	7.663436364541e-02
2.896640	7.825256337811e-02
2.898000	7.989981902168e-02
2.899360	8.157652915647e-02
2.900720	8.328309502568e-02
2.902080	8.501992048752e-02
2.903440	8.678741196540e-02
2.904800	8.858597839634e-02
2.906160	9.041603117742e-02
2.907520	9.227798411040e-02
2.908880	9.417225334436e-02
2.910240	9.609925731642e-02
2.911600	9.805941669048e-02
2.912960	1.000531542940e-01
2.914320	1.020808950529e-01
2.915680	1.041430659241e-01
2.917040	1.062400958265e-01
2.918400	1.083724155698e-01
2.919760	1.105404577807e-01
2.921120	1.127446568282e-01
2.922480	1.149854487455e-01
2.923840	1.172632711509e-01
2.925200	1.195785631660e-01
2.926560	1.219317653320e-01
2.927920	1.243233195238e-01
2.929280	1.267536688620e-01
2.930640	1.292232576229e-01
2.932000	1.317325311461e-01
2.933360	1.342819357404e-01
2.934720	1.368719185868e-01
2.936080	1.395029276402e-01
2.937440	1.421754115285e-01
2.938800	1.448898194493e-01
2.940160	1.476466010652e-01
2.941520	1.504462063959e-01
2.942880	1.532890857093e-01
2.944240	1.561756894095e-01
2.945600	1.591064679228e-01
2.946960	1.620818715824e-01
2.948320	1.651023505096e-01
2.949680	1.681683544940e-01
2.951040	1.712803328707e-01
2.952400	1.744387343961e-01
2.953760	1.776440071214e-01
2.955120	1.808965982632e-01
2.956480	1.841969540734e-01
2.957840	1.875455197056e-01
2.959200	1.909427390806e-01
2.960560	1.943890547489e-01
2.961920	1.978849077520e-01
2.963280	2.014307374807e-01
2.964640	2.050269815325e-01
2.966000	2.086740755661e-01
2.967360	2.123724531542e-01
2.968720	2.161225456349e-01
2.970080	2.199247819600e-01
2.971440	2.237795885428e-01
2.972800	2.276873891027e-01
2.974160	2.316486045091e-01
2.975520	2.356636526226e-01
2.976880	2.397329481349e-01
2.978240	2.438569024069e-01
2.979600	2.480359233045e-01
2.980960	2.522704150340e-01
2.982320	2.565607779743e-01
2.983680	2.609074085085e-01
2.985040	2.653106988536e-01
2.986400	2.697710368886e-01
2.987760	2.742888059812e-01
2.989120	2.788643848131e-01
2.990480	2.834981472036e-01
2.991840	2.881904619321e-01
2.993200	2.929416925592e-01
2.994560	2.977521972465e-01
2.995920	3.026223285748e-01
2.997280	3.075524333621e-01
2.998640	3.125428524794e-01
3.000000	3.175939206658e-01
3.001360	3.227059663430e-01
3.002720	3.278793114280e-01
3.004080	3.331142711457e-01
3.005440	3.384111538401e-01
3.006800	3.437702607850e-01
