# Gaussian distribution
# mean (nm) = 4.16
# sigma (nm) = 0.31
# columns: x_nm	pdf
2.920000	4.317104056932e-04
2.922480	4.457342873752e-04
2.924960	4.601842746186e-04
2.927440	4.750723015603e-04
2.929920	4.904106033672e-04
2.932400	5.062117227920e-04
2.934880	5.224885168425e-04
2.937360	5.392541635617e-04
2.939840	5.565221689234e-04
2.942320	5.743063738421e-04
2.944800	5.926209612982e-04
2.947280	6.114804635813e-04
2.949760	6.308997696495e-04
2.952240	6.508941326083e-04
2.954720	6.714791773088e-04
2.957200	6.926709080657e-04
2.959680	7.144857164966e-04
2.962160	7.369403894828e-04
2.964640	7.600521172533e-04
2.967120	7.838385015912e-04
2.969600	8.083175641641e-04
2.972080	8.335077549798e-04
2.974560	8.594279609665e-04
2.977040	8.860975146784e-04
2.979520	9.135362031284e-04
2.982000	9.417642767466e-04
2.984480	9.708024584668e-04
2.986960	1.000671952940e-03
2.989440	1.031394455874e-03
2.991920	1.062992163508e-03
2.994400	1.095487782205e-03
2.996880	1.128904538182e-03
2.999360	1.163266187362e-03
3.001840	1.198597025364e-03
3.004320	1.234921897612e-03
3.006800	1.272266209578e-03
3.009280	1.310655937152e-03
3.011760	1.350117637146e-03
3.014240	1.390678457915e-03
3.016720	1.432366150121e-03
3.019200	1.475209077612e-03
3.021680	1.519236228437e-03
3.024160	1.564477225980e-03
3.026640	1.610962340231e-03
3.029120	1.658722499175e-03
3.031600	1.707789300306e-03
3.034080	1.758195022271e-03
3.036560	1.809972636632e-03
3.039040	1.863155819752e-03
3.041520	1.917778964808e-03
3.044000	1.973877193915e-03
3.046480	2.031486370377e-03
3.048960	2.090643111050e-03
3.051440	2.151384798831e-03
3.053920	2.213749595250e-03
3.056400	2.277776453187e-03
3.058880	2.343505129692e-03
3.061360	2.410976198922e-03
3.063840	2.480231065180e-03
3.066320	2.551311976071e-03
3.068800	2.624262035748e-03
3.071280	2.699125218272e-03
3.073760	2.775946381067e-03
3.076240	2.854771278475e-03
3.078720	2.935646575400e-03
3.081200	3.018619861056e-03
3.083680	3.103739662792e-03
3.086160	3.191055460012e-03
3.088640	3.280617698177e-03
3.091120	3.372477802887e-03
3.093600	3.466688194044e-03
3.096080	3.563302300083e-03
3.098560	3.662374572280e-03
3.101040	3.763960499125e-03
3.103520	3.868116620756e-03
3.106000	3.974900543461e-03
3.108480	4.084370954224e-03
3.110960	4.196587635332e-03
3.113440	4.311611479025e-03
3.115920	4.429504502192e-03
3.118400	4.550329861101e-03
3.120880	4.674151866166e-03
3.123360	4.801035996744e-03
3.125840	4.931048915952e-03
3.128320	5.064258485506e-03
3.130800	5.200733780571e-03
3.133280	5.340545104626e-03
3.135760	5.483764004321e-03
3.138240	5.630463284336e-03
3.140720	5.780717022236e-03
3.143200	5.934600583304e-03
3.145680	6.092190635354e-03
3.148160	6.253565163520e-03
3.150640	6.418803485007e-03
3.153120	6.587986263804e-03
3.155600	6.761195525348e-03
3.158080	6.938514671137e-03
3.160560	7.120028493275e-03
3.163040	7.305823188956e-03
3.165520	7.495986374865e-03
3.168000	7.690607101499e-03
3.170480	7.889775867398e-03
3.172960	8.093584633270e-03
3.175440	8.302126836016e-03
3.177920	8.515497402634e-03
3.180400	8.733792764002e-03
3.182880	8.957110868527e-03
3.185360	9.185551195651e-03
3.187840	9.419214769209e-03
3.190320	9.658204170627e-03
3.192800	9.902623551951e-03
3.195280	1.015257864870e-02
3.197760	1.040817679252e-02
3.200240	1.066952692367e-02
3.202720	1.093673960327e-02
3.205200	1.120992702534e-02
3.207680	1.148920302861e-02
3.210160	1.177468310814e-02
3.212640	1.206648442659e-02
3.215120	1.236472582533e-02
3.217600	1.266952783524e-02
3.220080	1.298101268724e-02
3.222560	1.329930432250e-02
3.225040	1.362452840237e-02
3.227520	1.395681231805e-02
3.230000	1.429628519980e-02
3.232480	1.464307792597e-02
3.234960	1.499732313156e-02
3.237440	1.535915521649e-02
3.239920	1.572871035348e-02
3.242400	1.610612649552e-02
3.244880	1.649154338301e-02
3.247360	1.688510255039e-02
3.249840	1.728694733246e-02
3.252320	1.769722287019e-02
3.254800	1.811607611610e-02
3.257280	1.854365583922e-02
3.259760	1.898011262953e-02
3.262240	1.942559890193e-02
3.264720	1.988026889973e-02
3.267200	2.034427869763e-02
3.269680	2.081778620413e-02
3.272160	2.130095116347e-02
3.274640	2.179393515697e-02
3.277120	2.229690160383e-02
3.279600	2.281001576135e-02
3.282080	2.333344472458e-02
3.284560	2.386735742530e-02
3.287040	2.441192463046e-02
3.289520	2.496731893997e-02
3.292000	2.553371478381e-02
3.294480	2.611128841849e-02
3.296960	2.670021792293e-02
3.299440	2.730068319349e-02
3.301920	2.791286593846e-02
3.304400	2.853694967173e-02
3.306880	2.917311970581e-02
3.309360	2.982156314405e-02
3.311840	3.048246887214e-02
3.314320	3.115602754885e-02
3.316800	3.184243159597e-02
3.319280	3.254187518746e-02
3.321760	3.325455423780e-02
3.324240	3.398066638956e-02
3.326720	3.472041100002e-02
3.329200	3.547398912711e-02
3.331680	3.624160351434e-02
3.334160	3.702345857495e-02
3.336640	3.781976037513e-02
3.339120	3.863071661641e-02
3.341600	3.945653661703e-02
3.344080	4.029743129248e-02
3.346560	4.115361313509e-02
3.349040	4.202529619264e-02
3.351520	4.291269604606e-02
3.354000	4.381602978608e-02
3.356480	4.473551598903e-02
3.358960	4.567137469150e-02
3.361440	4.662382736412e-02
3.363920	4.759309688425e-02
3.366400	4.857940750767e-02
3.368880	4.958298483923e-02
3.371360	5.060405580248e-02
3.373840	5.164284860820e-02
3.376320	5.269959272191e-02
3.378800	5.377451883026e-02
3.381280	5.486785880640e-02
3.383760	5.597984567416e-02
3.386240	5.711071357127e-02
3.388720	5.826069771132e-02
3.391200	5.943003434472e-02
3.393680	6.061896071846e-02
3.396160	6.182771503481e-02
3.398640	6.305653640881e-02
3.401120	6.430566482469e-02
3.403600	6.557534109105e-02
3.406080	6.686580679499e-02
3.408560	6.817730425500e-02
3.411040	6.951007647272e-02
3.413520	7.086436708353e-02
3.416000	7.224042030594e-02
3.418480	7.363848088989e-02
3.420960	7.505879406372e-02
3.423440	7.650160548011e-02
3.425920	7.796716116078e-02
3.428400	7.945570743994e-02
3.430880	8.096749090670e-02
3.433360	8.250275834614e-02
3.435840	8.406175667931e-02
3.438320	8.564473290196e-02
3.440800	8.725193402220e-02
3.443280	8.888360699682e-02
3.445760	9.053999866658e-02
3.448240	9.222135569025e-02
3.450720	9.392792447746e-02
3.453200	9.565995112046e-02
3.455680	9.741768132463e-02
3.458160	9.920136033789e-02
3.460640	1.010112328789e-01
3.463120	1.028475430644e-01
3.465600	1.047105343345e-01
3.468080	1.066004493784e-01
3.470560	1.085175300575e-01
3.473040	1.104620173281e-01
3.475520	1.124341511630e-01
3.478000	1.144341704717e-01
3.480480	1.164623130201e-01
3.482960	1.185188153482e-01
3.485440	1.206039126877e-01
3.487920	1.227178388783e-01
3.490400	1.248608262821e-01
3.492880	1.270331056985e-01
3.495360	1.292349062769e-01
3.497840	1.314664554288e-01
3.500320	1.337279787392e-01
3.502800	1.360196998767e-01
3.505280	1.383418405025e-01
3.507760	1.406946201795e-01
3.510240	1.430782562789e-01
3.512720	1.454929638875e-01
3.515200	1.479389557131e-01
3.517680	1.504164419897e-01
3.520160	1.529256303814e-01
3.522640	1.554667258858e-01
3.525120	1.580399307370e-01
3.527600	1.606454443067e-01
3.530080	1.632834630061e-01
3.532560	1.659541801862e-01
3.535040	1.686577860373e-01
3.537520	1.713944674887e-01
3.540000	1.741644081071e-01
3.542480	1.769677879945e-01
3.544960	1.798047836863e-01
3.547440	1.826755680476e-01
3.549920	1.855803101704e-01
3.552400	1.885191752692e-01
3.554880	1.914923245772e-01
3.557360	1.944999152412e-01
3.559840	1.975421002170e-01
3.562320	2.006190281640e-01
3.564800	2.037308433394e-01
3.567280	2.068776854926e-01
3.569760	2.100596897596e-01
3.572240	2.132769865562e-01
3.574720	2.165297014721e-01
3.577200	2.198179551647e-01
3.579680	2.231418632525e-01
3.582160	2.265015362091e-01
3.584640	2.298970792566e-01
3.587120	2.333285922594e-01
3.589600	2.367961696182e-01
3.592080	2.402999001645e-01
3.594560	2.438398670541e-01
3.597040	2.474161476624e-01
3.599520	2.510288134790e-01
3.602000	2.546779300029e-01
3.604480	2.583635566382e-01
3.606960	2.620857465904e-01
3.609440	2.658445467626e-01
3.611920	2.696399976528e-01
3.614400	2.734721332517e-01
3.616880	2.773409809407e-01
3.619360	2.812465613915e-01
3.621840	2.851888884652e-01
3.624320	2.891679691131e-01
3.626800	2.931838032783e-01
3.629280	2.972363837975e-01
3.631760	3.013256963044e-01
3.634240	3.054517191338e-01
3.636720	3.096144232268e-01
3.639200	3.138137720370e-01
3.641680	3.180497214378e-01
3.644160	3.223222196312e-01
3.646640	3.266312070574e-01
3.649120	3.309766163060e-01
3.651600	3.353583720283e-01
3.654080	3.397763908511e-01
3.656560	3.442305812922e-01
3.659040	3.487208436768e-01
3.661520	3.532470700562e-01
3.664000	3.578091441273e-01
3.666480	3.624069411541e-01
3.668960	3.670403278914e-01
3.671440	3.717091625095e-01
3.673920	3.764132945206e-01
3.676400	3.811525647083e-01
3.678880	3.859268050575e-01
3.681360	3.907358386868e-01
3.683840	3.955794797838e-01
3.686320	4.004575335408e-01
3.688800	4.053697960938e-01
3.691280	4.103160544637e-01
3.693760	4.152960864986e-01
3.696240	4.203096608197e-01
3.698720	4.253565367688e-01
3.701200	4.304364643581e-01
3.703680	4.355491842224e-01
3.706160	4.406944275743e-01
3.708640	4.458719161614e-01
3.711120	4.510813622259e-01
3.713600	4.563224684672e-01
3.716080	4.615949280070e-01
3.718560	4.668984243569e-01
3.721040	4.722326313889e-01
3.723520	4.775972133086e-01
3.726000	4.829918246314e-01
3.728480	4.884161101611e-01
3.730960	4.938697049717e-01
3.733440	4.993522343921e-01
3.735920	5.048633139940e-01
3.738400	5.104025495819e-01
3.740880	5.159695371874e-01
3.743360	5.215638630659e-01
3.745840	5.271851036958e-01
3.748320	5.328328257824e-01
3.750800	5.385065862636e-01
3.753280	5.442059323191e-01
3.755760	5.499304013836e-01
3.758240	5.556795211622e-01
3.760720	5.614528096499e-01
3.763200	5.672497751538e-01
3.765680	5.730699163193e-01
3.768160	5.789127221593e-01
3.770640	5.847776720867e-01
3.773120	5.906642359505e-01
3.775600	5.965718740752e-01
3.778080	6.025000373041e-01
3.780560	6.084481670457e-01
3.783040	6.144156953231e-01
3.785520	6.204020448281e-01
3.788000	6.264066289781e-01
3.790480	6.324288519762e-01
3.792960	6.384681088757e-01
3.795440	6.445237856477e-01
3.797920	6.505952592520e-01
3.800400	6.566818977121e-01
3.802880	6.627830601938e-01
3.805360	6.688980970866e-01
3.807840	6.750263500896e-01
3.810320	6.811671523007e-01
3.812800	6.873198283088e-01
3.815280	6.934836942906e-01
3.817760	6.996580581104e-01
3.820240	7.058422194232e-01
3.822720	7.120354697818e-01
3.825200	7.182370927476e-01
3.827680	7.244463640045e-01
3.830160	7.306625514764e-01
3.832640	7.368849154484e-01
3.835120	7.431127086918e-01
3.837600	7.493451765915e-01
3.840080	7.555815572781e-01
3.842560	7.618210817628e-01
3.845040	7.680629740757e-01
3.847520	7.743064514075e-01
3.850000	7.805507242553e-01
3.852480	7.867949965702e-01
3.854960	7.930384659098e-01
3.857440	7.992803235931e-01
3.859920	8.055197548586e-01
3.862400	8.117559390262e-01
3.864880	8.179880496616e-01
3.867360	8.242152547444e-01
3.869840	8.304367168387e-01
3.872320	8.366515932674e-01
3.874800	8.428590362889e-01
3.877280	8.490581932770e-01
3.879760	8.552482069041e-01
3.882240	8.614282153266e-01
3.884720	8.675973523731e-01
3.887200	8.737547477366e-01
3.889680	8.798995271673e-01
3.892160	8.860308126701e-01
3.894640	8.921477227035e-01
3.897120	8.982493723811e-01
3.899600	9.043348736762e-01
3.902080	9.104033356283e-01
3.904560	9.164538645518e-01
3.907040	9.224855642478e-01
3.909520	9.284975362171e-01
3.912000	9.344888798758e-01
3.914480	9.404586927734e-01
3.916960	9.464060708123e-01
3.919440	9.523301084693e-01
3.921920	9.582298990195e-01
3.924400	9.641045347611e-01
3.926880	9.699531072430e-01
3.929360	9.757747074929e-01
3.931840	9.815684262481e-01
3.934320	9.873333541866e-01
3.936800	9.930685821608e-01
3.939280	9.987732014317e-01
3.941760	1.004446303904e+00
3.944240	1.010086982365e+00
3.946720	1.015694330719e+00
3.949200	1.021267444229e+00
3.951680	1.026805419756e+00
3.954160	1.032307355999e+00
3.956640	1.037772353736e+00
3.959120	1.043199516068e+00
3.961600	1.048587948658e+00
3.964080	1.053936759978e+00
3.966560	1.059245061548e+00
3.969040	1.064511968184e+00
3.971520	1.069736598238e+00
3.974000	1.074918073845e+00
3.976480	1.080055521162e+00
3.978960	1.085148070620e+00
3.981440	1.090194857157e+00
3.983920	1.095195020472e+00
3.986400	1.100147705259e+00
3.988880	1.105052061454e+00
3.991360	1.109907244477e+00
3.993840	1.114712415469e+00
3.996320	1.119466741539e+00
3.998800	1.124169395997e+00
4.001280	1.128819558596e+00
4.003760	1.133416415769e+00
4.006240	1.137959160865e+00
4.008720	1.142446994385e+00
4.011200	1.146879124213e+00
4.013680	1.151254765852e+00
4.016160	1.155573142652e+00
4.018640	1.159833486041e+00
4.021120	1.164035035750e+00
4.023600	1.168177040042e+00
4.026080	1.172258755932e+00
4.028560	1.176279449412e+00
4.031040	1.180238395667e+00
4.033520	1.184134879296e+00
4.036000	1.187968194527e+00
4.038480	1.191737645425e+00
4.040960	1.195442546107e+00
4.043440	1.199082220950e+00
4.045920	1.202656004793e+00
4.048400	1.206163243139e+00
4.050880	1.209603292360e+00
4.053360	1.212975519889e+00
4.055840	1.216279304413e+00
4.058320	1.219514036068e+00
4.060800	1.222679116622e+00
4.063280	1.225773959662e+00
4.065760	1.228797990775e+00
4.068240	1.231750647724e+00
4.070720	1.234631380623e+00
4.073200	1.237439652108e+00
4.075680	1.240174937504e+00
4.078160	1.242836724986e+00
4.080640	1.245424515744e+00
4.083120	1.247937824131e+00
4.085600	1.250376177823e+00
4.088080	1.252739117960e+00
4.090560	1.255026199295e+00
4.093040	1.257236990331e+00
4.095520	1.259371073458e+00
4.098000	1.261428045082e+00
4.100480	1.263407515756e+00
4.102960	1.265309110301e+00
4.105440	1.267132467922e+00
4.107920	1.268877242327e+00
4.110400	1.270543101834e+00
4.112880	1.272129729475e+00
4.115360	1.273636823098e+00
4.117840	1.275064095463e+00
4.120320	1.276411274333e+00
4.122800	1.277678102560e+00
4.125280	1.278864338168e+00
4.127760	1.279969754427e+00
4.130240	1.280994139930e+00
4.132720	1.281937298657e+00
4.135200	1.282799050037e+00
4.137680	1.283579229010e+00
4.140160	1.284277686074e+00
4.142640	1.284894287336e+00
4.145120	1.285428914554e+00
4.147600	1.285881465176e+00
4.150080	1.286251852371e+00
4.152560	1.286540005058e+00
4.155040	1.286745867928e+00
4.157520	1.286869401460e+00
4.160000	1.286910581940e+00
4.162480	1.286869401460e+00
4.164960	1.286745867928e+00
4.167440	1.286540005058e+00
4.169920	1.286251852371e+00
4.172400	1.285881465176e+00
4.174880	1.285428914554e+00
4.177360	1.284894287336e+00
4.179840	1.284277686074e+00
4.182320	1.283579229010e+00
4.184800	1.282799050037e+00
4.187280	1.281937298657e+00
4.189760	1.280994139930e+00
4.192240	1.279969754427e+00
4.194720	1.278864338168e+00
4.197200	1.277678102560e+00
4.199680	1.276411274333e+00
4.202160	1.275064095463e+00
4.204640	1.273636823098e+00
4.207120	1.272129729475e+00
4.209600	1.270543101834e+00
4.212080	1.268877242327e+00
4.214560	1.267132467922e+00
4.217040	1.265309110301e+00
4.219520	1.263407515756e+00
4.222000	1.261428045082e+00
4.224480	1.259371073458e+00
4.226960	1.257236990331e+00
4.229440	1.255026199295e+00
4.231920	1.252739117960e+00
4.234400	1.250376177823e+00
4.236880	1.247937824131e+00
4.239360	1.245424515744e+00
4.241840	1.242836724986e+00
4.244320	1.240174937504e+00
4.246800	1.237439652108e+00
4.249280	1.234631380623e+00
4.251760	1.231750647724e+00
4.254240	1.228797990775e+00
4.256720	1.225773959662e+00
4.259200	1.222679116622e+00
4.261680	1.219514036068e+00
4.264160	1.216279304413e+00
4.266640	1.212975519889e+00
4.269120	1.209603292360e+00
4.271600	1.206163243139e+00
4.274080	1.202656004793e+00
4.276560	1.199082220950e+00
4.279040	1.195442546107e+00
4.281520	1.191737645425e+00
4.284000	1.187968194527e+00
4.286480	1.184134879296e+00
4.288960	1.180238395667e+00
4.291440	1.176279449412e+00
4.293920	1.172258755932e+00
4.296400	1.168177040042e+00
4.298880	1.164035035750e+00
4.301360	1.159833486041e+00
4.303840	1.155573142652e+00
4.306320	1.151254765852e+00
4.308800	1.146879124213e+00
4.311280	1.142446994385e+00
4.313760	1.137959160865e+00
4.316240	1.133416415769e+00
4.318720	1.128819558596e+00
4.321200	1.124169395997e+00
4.323680	1.119466741539e+00
4.326160	1.114712415469e+00
4.328640	1.109907244477e+00
4.331120	1.105052061454e+00
4.333600	1.100147705259e+00
4.336080	1.095195020472e+00
4.338560	1.090194857157e+00
4.341040	1.085148070620e+00
4.343520	1.080055521162e+00
4.346000	1.074918073845e+00
4.348480	1.069736598238e+00
4.350960	1.064511968184e+00
4.353440	1.059245061548e+00
4.355920	1.053936759978e+00
4.358400	1.048587948658e+00
4.360880	1.043199516068e+00
4.363360	1.037772353736e+00
4.365840	1.032307355999e+00
4.368320	1.026805419756e+00
4.370800	1.021267444229e+00
4.373280	1.015694330719e+00
4.375760	1.010086982365e+00
4.378240	1.004446303904e+00
4.380720	9.987732014317e-01
4.383200	9.930685821608e-01
4.385680	9.873333541866e-01
4.388160	9.815684262481e-01
4.390640	9.757747074929e-01
4.393120	9.699531072430e-01
4.395600	9.641045347611e-01
4.398080	9.582298990195e-01
4.400560	9.523301084693e-01
4.403040	9.464060708123e-01
4.405520	9.404586927734e-01
4.408000	9.344888798758e-01
4.410480	9.284975362171e-01
4.412960	9.224855642478e-01
4.415440	9.164538645518e-01
4.417920	9.104033356283e-01
4.420400	9.043348736762e-01
4.422880	8.982493723811e-01
4.425360	8.921477227035e-01
4.427840	8.860308126701e-01
4.430320	8.798995271673e-01
4.432800	8.737547477366e-01
4.435280	8.675973523731e-01
4.437760	8.614282153266e-01
4.440240	8.552482069041e-01
4.442720	8.490581932770e-01
4.445200	8.428590362889e-01
4.447680	8.366515932674e-01
4.450160	8.304367168387e-01
4.452640	8.242152547444e-01
4.455120	8.179880496616e-01
4.457600	8.117559390262e-01
4.460080	8.055197548586e-01
4.462560	7.992803235931e-01
4.465040	7.930384659098e-01
4.467520	7.867949965702e-01
4.470000	7.805507242553e-01
4.472480	7.743064514075e-01
4.474960	7.680629740757e-01
4.477440	7.618210817628e-01
4.479920	7.555815572781e-01
4.482400	7.493451765915e-01
4.484880	7.431127086918e-01
4.487360	7.368849154484e-01
4.489840	7.306625514764e-01
4.492320	7.244463640045e-01
4.494800	7.182370927476e-01
4.497280	7.120354697818e-01
4.499760	7.058422194232e-01
4.502240	6.996580581104e-01
4.504720	6.934836942906e-01
4.507200	6.873198283088e-01
4.509680	6.811671523007e-01
4.512160	6.750263500896e-01
4.514640	6.688980970866e-01
4.517120	6.627830601938e-01
4.519600	6.566818977121e-01
4.522080	6.505952592520e-01
4.524560	6.445237856477e-01
4.527040	6.384681088757e-01
4.529520	6.324288519762e-01
4.532000	6.264066289781e-01
4.534480	6.204020448281e-01
4.536960	6.144156953231e-01
4.539440	6.084481670457e-01
4.541920	6.025000373041e-01
4.544400	5.965718740752e-01
4.546880	5.906642359505e-01
4.549360	5.847776720867e-01
4.551840	5.789127221593e-01
4.554320	5.730699163193e-01
4.556800	5.672497751538e-01
4.559280	5.614528096499e-01
4.561760	5.556795211622e-01
4.564240	5.499304013836e-01
4.566720	5.442059323191e-01
4.569200	5.385065862636e-01
4.571680	5.328328257824e-01
4.574160	5.271851036958e-01
4.576640	5.215638630659e-01
4.579120	5.159695371874e-01
4.581600	5.104025495819e-01
4.584080	5.048633139940e-01
4.586560	4.993522343921e-01
4.589040	4.938697049717e-01
4.591520	4.884161101611e-01
4.594000	4.829918246314e-01
4.596480	4.775972133086e-01
4.598960	4.722326313889e-01
4.601440	4.668984243569e-01
4.603920	4.615949280070e-01
4.606400	4.563224684672e-01
4.608880	4.510813622259e-01
4.611360	4.458719161614e-01
4.613840	4.406944275743e-01
4.616320	4.355491842224e-01
4.618800	4.304364643581e-01
4.621280	4.253565367688e-01
4.623760	4.203096608197e-01
4.626240	4.152960864986e-01
4.628720	4.103160544637e-01
4.631200	4.053697960938e-01
4.633680	4.004575335408e-01
4.636160	3.955794797838e-01
4.638640	3.907358386868e-01
4.641120	3.859268050575e-01
4.643600	3.811525647083e-01
4.646080	3.764132945206e-01
4.648560	3.717091625095e-01
4.651040	3.670403278914e-01
4.653520	3.624069411541e-01
4.656000	3.578091441273e-01
4.658480	3.532470700562e-01
4.660960	3.487208436768e-01
4.663440	3.442305812922e-01
4.665920	3.397763908511e-01
4.668400	3.353583720283e-01
4.670880	3.309766163060e-01
4.673360	3.266312070574e-01
4.675840	3.223222196312e-01
4.678320	3.180497214378e-01
4.680800	3.138137720370e-01
4.683280	3.096144232268e-01
4.685760	3.054517191338e-01
4.688240	3.013256963044e-01
4.690720	2.972363837975e-01
4.693200	2.931838032783e-01
4.695680	2.891679691131e-01
4.698160	2.851888884652e-01
4.700640	2.812465613915e-01
4.703120	2.773409809407e-01
4.705600	2.734721332517e-01
4.708080	2.696399976528e-01
4.710560	2.658445467626e-01
4.713040	2.620857465904e-01
4.715520	2.583635566382e-01
4.718000	2.546779300029e-01
4.720480	2.510288134790e-01
4.722960	2.474161476624e-01
4.725440	2.438398670541e-01
4.727920	2.402999001645e-01
4.730400	2.367961696182e-01
4.732880	2.333285922594e-01
4.735360	2.298970792566e-01
4.737840	2.265015362091e-01
4.740320	2.231418632525e-01
4.742800	2.198179551647e-01
4.745280	2.165297014721e-01
4.747760	2.132769865562e-01
4.750240	2.100596897596e-01
4.752720	2.068776854926e-01
4.755200	2.037308433394e-01
4.757680	2.006190281640e-01
4.760160	1.975421002170e-01
4.762640	1.944999152412e-01
4.765120	1.914923245772e-01
4.767600	1.885191752692e-01
4.770080	1.855803101704e-01
4.772560	1.826755680476e-01
4.775040	1.798047836863e-01
4.777520	1.769677879945e-01
4.780000	1.741644081071e-01
4.782480	1.713944674887e-01
4.784960	1.686577860373e-01
4.787440	1.659541801862e-01
4.789920	1.632834630061e-01
4.792400	1.606454443067e-01
4.794880	1.580399307370e-01
