# Gaussian distribution
# mean (nm) = 4.04
# sigma (nm) = 0.17
# columns: x_nm	pdf
3.360000	7.872366221464e-04
3.361360	8.128095828606e-04
3.362720	8.391595595986e-04
3.364080	8.663083146100e-04
3.365440	8.942781590813e-04
3.366800	9.230919650914e-04
3.368160	9.527731777716e-04
3.369520	9.833458276713e-04
3.370880	1.014834543331e-03
3.372240	1.047264564065e-03
3.373600	1.080661752956e-03
3.374960	1.115052610060e-03
3.376320	1.150464285831e-03
3.377680	1.186924594756e-03
3.379040	1.224462029210e-03
3.380400	1.263105773532e-03
3.381760	1.302885718317e-03
3.383120	1.343832474939e-03
3.384480	1.385977390286e-03
3.385840	1.429352561725e-03
3.387200	1.473990852299e-03
3.388560	1.519925906140e-03
3.389920	1.567192164115e-03
3.391280	1.615824879708e-03
3.392640	1.665860135116e-03
3.394000	1.717334857597e-03
3.395360	1.770286836028e-03
3.396720	1.824754737714e-03
3.398080	1.880778125418e-03
3.399440	1.938397474633e-03
3.400800	1.997654191080e-03
3.402160	2.058590628449e-03
3.403520	2.121250106366e-03
3.404880	2.185676928606e-03
3.406240	2.251916401528e-03
3.407600	2.320014852760e-03
3.408960	2.390019650101e-03
3.410320	2.461979220677e-03
3.411680	2.535943070316e-03
3.413040	2.611961803162e-03
3.414400	2.690087141529e-03
3.415760	2.770371945973e-03
3.417120	2.852870235610e-03
3.418480	2.937637208657e-03
3.419840	3.024729263201e-03
3.421200	3.114204018205e-03
3.422560	3.206120334730e-03
3.423920	3.300538337387e-03
3.425280	3.397519436019e-03
3.426640	3.497126347592e-03
3.428000	3.599423118316e-03
3.429360	3.704475145981e-03
3.430720	3.812349202503e-03
3.432080	3.923113456691e-03
3.433440	4.036837497221e-03
3.434800	4.153592355812e-03
3.436160	4.273450530615e-03
3.437520	4.396486009798e-03
3.438880	4.522774295329e-03
3.440240	4.652392426953e-03
3.441600	4.785419006364e-03
3.442960	4.921934221554e-03
3.444320	5.062019871357e-03
3.445680	5.205759390159e-03
3.447040	5.353237872789e-03
3.448400	5.504542099573e-03
3.449760	5.659760561562e-03
3.451120	5.818983485904e-03
3.452480	5.982302861381e-03
3.453840	6.149812464089e-03
3.455200	6.321607883257e-03
3.456560	6.497786547211e-03
3.457920	6.678447749452e-03
3.459280	6.863692674875e-03
3.460640	7.053624426085e-03
3.462000	7.248348049841e-03
3.463360	7.447970563585e-03
3.464720	7.652600982076e-03
3.466080	7.862350344105e-03
3.467440	8.077331739292e-03
3.468800	8.297660334949e-03
3.470160	8.523453403009e-03
3.471520	8.754830347004e-03
3.472880	8.991912729089e-03
3.474240	9.234824297098e-03
3.475600	9.483691011630e-03
3.476960	9.738641073142e-03
3.478320	9.999804949055e-03
3.479680	1.026731540085e-02
3.481040	1.054130751114e-02
3.482400	1.082191871073e-02
3.483760	1.110928880565e-02
3.485120	1.140356000407e-02
3.486480	1.170487694325e-02
3.487840	1.201338671635e-02
3.489200	1.232923889916e-02
3.490560	1.265258557678e-02
3.491920	1.298358137009e-02
3.493280	1.332238346221e-02
3.494640	1.366915162475e-02
3.496000	1.402404824391e-02
3.497360	1.438723834643e-02
3.498720	1.475888962537e-02
3.500080	1.513917246568e-02
3.501440	1.552825996951e-02
3.502800	1.592632798142e-02
3.504160	1.633355511320e-02
3.505520	1.675012276854e-02
3.506880	1.717621516738e-02
3.508240	1.761201936997e-02
3.509600	1.805772530062e-02
3.510960	1.851352577115e-02
3.512320	1.897961650401e-02
3.513680	1.945619615493e-02
3.515040	1.994346633538e-02
3.516400	2.044163163444e-02
3.517760	2.095089964041e-02
3.519120	2.147148096190e-02
3.520480	2.200358924848e-02
3.521840	2.254744121089e-02
