# Gaussian distribution
# mean (nm) = 4.38
# sigma (nm) = 0.14
# columns: x_nm	pdf
3.820000	9.559301840349e-04
3.821120	9.869830649022e-04
3.822240	1.018979465227e-03
3.823360	1.051945810598e-03
3.824480	1.085909193170e-03
3.825600	1.120897386182e-03
3.826720	1.156938858723e-03
3.827840	1.194062790744e-03
3.828960	1.232299088330e-03
3.830080	1.271678399222e-03
3.831200	1.312232128589e-03
3.832320	1.353992455073e-03
3.833440	1.396992347081e-03
3.834560	1.441265579347e-03
3.835680	1.486846749755e-03
3.836800	1.533771296431e-03
3.837920	1.582075515100e-03
3.839040	1.631796576712e-03
3.840160	1.682972545347e-03
3.841280	1.735642396380e-03
3.842400	1.789846034935e-03
3.843520	1.845624314598e-03
3.844640	1.903019056426e-03
3.845760	1.962073068217e-03
3.846880	2.022830164070e-03
3.848000	2.085335184225e-03
3.849120	2.149634015177e-03
3.850240	2.215773610081e-03
3.851360	2.283802009436e-03
3.852480	2.353768362055e-03
3.853600	2.425722946312e-03
3.854720	2.499717191688e-03
3.855840	2.575803700587e-03
3.856960	2.654036270450e-03
3.858080	2.734469916142e-03
3.859200	2.817160892637e-03
3.860320	2.902166717980e-03
3.861440	2.989546196537e-03
3.862560	3.079359442526e-03
3.863680	3.171667903840e-03
3.864800	3.266534386142e-03
3.865920	3.364023077252e-03
3.867040	3.464199571812e-03
3.868160	3.567130896226e-03
3.869280	3.672885533887e-03
3.870400	3.781533450678e-03
3.871520	3.893146120743e-03
3.872640	4.007796552542e-03
3.873760	4.125559315166e-03
3.874880	4.246510564933e-03
3.876000	4.370728072241e-03
3.877120	4.498291248691e-03
3.878240	4.629281174467e-03
3.879360	4.763780625982e-03
3.880480	4.901874103768e-03
3.881600	5.043647860629e-03
3.882720	5.189189930033e-03
3.883840	5.338590154755e-03
3.884960	5.491940215757e-03
3.886080	5.649333661300e-03
3.887200	5.810865936299e-03
3.888320	5.976634411887e-03
3.889440	6.146738415220e-03
3.890560	6.321279259479e-03
3.891680	6.500360274101e-03
3.892800	6.684086835196e-03
3.893920	6.872566396183e-03
3.895040	7.065908518598e-03
