# Gaussian distribution
# mean (nm) = 2.19
# sigma (nm) = 0.07
# columns: x_nm	pdf
1.910000	1.911860368070e-03
1.910560	1.973966129804e-03
1.911120	2.037958930454e-03
1.911680	2.103891621196e-03
1.912240	2.171818386340e-03
1.912800	2.241794772365e-03
1.913360	2.313877717445e-03
1.913920	2.388125581488e-03
1.914480	2.464598176661e-03
1.915040	2.543356798443e-03
1.915600	2.624464257178e-03
1.916160	2.707984910146e-03
1.916720	2.793984694162e-03
1.917280	2.882531158694e-03
1.917840	2.973693499510e-03
1.918400	3.067542592862e-03
1.918960	3.164151030199e-03
1.919520	3.263593153424e-03
1.920080	3.365945090693e-03
1.920640	3.471284792761e-03
1.921200	3.579692069869e-03
1.921760	3.691248629196e-03
1.922320	3.806038112852e-03
1.922880	3.924146136433e-03
1.923440	4.045660328140e-03
1.924000	4.170670368449e-03
1.924560	4.299268030353e-03
1.925120	4.431547220162e-03
1.925680	4.567604018873e-03
1.926240	4.707536724109e-03
1.926800	4.851445892624e-03
1.927360	4.999434383375e-03
1.927920	5.151607401174e-03
1.928480	5.308072540899e-03
1.929040	5.468939832283e-03
1.929600	5.634321785274e-03
1.930160	5.804333435960e-03
1.930720	5.979092393074e-03
1.931280	6.158718885053e-03
1.931840	6.343335807680e-03
1.932400	6.533068772284e-03
1.932960	6.728046154505e-03
1.933520	6.928399143624e-03
1.934080	7.134261792452e-03
1.934640	7.345771067775e-03
1.935200	7.563066901356e-03
1.935760	7.786292241487e-03
1.936320	8.015593105083e-03
1.936880	8.251118630332e-03
1.937440	8.493021129866e-03
1.938000	8.741456144482e-03
1.938560	8.996582497382e-03
1.939120	9.258562348935e-03
1.939680	9.527561251964e-03
1.940240	9.803748207536e-03
1.940800	1.008729572126e-02
1.941360	1.037837986007e-02
1.941920	1.067718030951e-02
1.942480	1.098388043151e-02
1.943040	1.129866732260e-02
1.943600	1.162173187260e-02
1.944160	1.195326882377e-02
1.944720	1.229347683044e-02
1.945280	1.264255851896e-02
1.945840	1.300072054820e-02
1.946400	1.336817367039e-02
1.946960	1.374513279237e-02
1.947520	1.413181703720e-02
1.948080	1.452844980621e-02
1.948640	1.493525884136e-02
1.949200	1.535247628791e-02
1.949760	1.578033875751e-02
1.950320	1.621908739153e-02
1.950880	1.666896792470e-02
1.951440	1.713023074906e-02
1.952000	1.760313097819e-02
1.952560	1.808792851156e-02
1.953120	1.858488809933e-02
1.953680	1.909427940711e-02
1.954240	1.961637708114e-02
1.954800	2.015146081345e-02
1.955360	2.069981540731e-02
1.955920	2.126173084273e-02
1.956480	2.183750234207e-02
1.957040	2.242743043581e-02
1.957600	2.303182102824e-02
1.958160	2.365098546335e-02
1.958720	2.428524059056e-02
1.959280	2.493490883063e-02
1.959840	2.560031824133e-02
1.960400	2.628180258320e-02
1.960960	2.697970138514e-02
1.961520	2.769436000988e-02
1.962080	2.842612971932e-02
1.962640	2.917536773970e-02
1.963200	2.994243732654e-02
1.963760	3.072770782932e-02
1.964320	3.153155475593e-02
1.964880	3.235435983681e-02
1.965440	3.319651108869e-02
1.966000	3.405840287807e-02
1.966560	3.494043598419e-02
1.967120	3.584301766162e-02
1.967680	3.676656170235e-02
1.968240	3.771148849738e-02
1.968800	3.867822509772e-02
1.969360	3.966720527491e-02
1.969920	4.067886958074e-02
1.970480	4.171366540650e-02
1.971040	4.277204704135e-02
1.971600	4.385447573007e-02
1.972160	4.496141972995e-02
1.972720	4.609335436687e-02
1.973280	4.725076209055e-02
1.973840	4.843413252878e-02
1.974400	4.964396254078e-02
1.974960	5.088075626958e-02
1.975520	5.214502519319e-02
1.976080	5.343728817488e-02
1.976640	5.475807151216e-02
1.977200	5.610790898464e-02
1.977760	5.748734190064e-02
1.978320	5.889691914248e-02
1.978880	6.033719721051e-02
1.979440	6.180874026564e-02
1.980000	6.331212017054e-02
1.980560	6.484791652928e-02
1.981120	6.641671672546e-02
1.981680	6.801911595873e-02
1.982240	6.965571727968e-02
1.982800	7.132713162303e-02
1.983360	7.303397783905e-02
1.983920	7.477688272318e-02
1.984480	7.655648104377e-02
1.985040	7.837341556798e-02
1.985600	8.022833708558e-02
1.986160	8.212190443083e-02
1.986720	8.405478450219e-02
1.987280	8.602765227996e-02
1.987840	8.804119084167e-02
1.988400	9.009609137523e-02
1.988960	9.219305318973e-02
1.989520	9.433278372395e-02
1.990080	9.651599855229e-02
1.990640	9.874342138838e-02
1.991200	1.010157840860e-01
1.991760	1.033338266374e-01
1.992320	1.056982971692e-01
1.992880	1.081099519349e-01
1.993440	1.105695553056e-01
