# Gaussian distribution
# mean (nm) = 5.21
# sigma (nm) = 0.18
# columns: x_nm	pdf
4.490000	7.435012542494e-04
4.491440	7.676534949239e-04
4.492880	7.925395840654e-04
4.494320	8.181800749095e-04
4.495760	8.445960391323e-04
4.497200	8.718090781419e-04
4.498640	8.998413345621e-04
4.500080	9.287155039118e-04
4.501520	9.584548464792e-04
4.502960	9.890831993947e-04
4.504400	1.020624988903e-03
4.505840	1.053105242835e-03
4.507280	1.086549603285e-03
4.508720	1.120984339492e-03
4.510160	1.156436360921e-03
4.511600	1.192933230558e-03
4.513040	1.230503178411e-03
4.514480	1.269175115220e-03
4.515920	1.308978646381e-03
4.517360	1.349944086074e-03
4.518800	1.392102471616e-03
4.520240	1.435485578021e-03
4.521680	1.480125932776e-03
4.523120	1.526056830835e-03
4.524560	1.573312349832e-03
4.526000	1.621927365508e-03
4.527440	1.671937567360e-03
4.528880	1.723379474507e-03
4.530320	1.776290451784e-03
4.531760	1.830708726042e-03
4.533200	1.886673402687e-03
4.534640	1.944224482424e-03
4.536080	2.003402878234e-03
4.537520	2.064250432572e-03
4.538960	2.126809934777e-03
4.540400	2.191125138718e-03
4.541840	2.257240780651e-03
4.543280	2.325202597306e-03
4.544720	2.395057344187e-03
4.546160	2.466852814098e-03
4.547600	2.540637855888e-03
4.549040	2.616462393418e-03
4.550480	2.694377444743e-03
4.551920	2.774435141509e-03
4.553360	2.856688748579e-03
4.554800	2.941192683861e-03
4.556240	3.028002538356e-03
4.557680	3.117175096421e-03
4.559120	3.208768356240e-03
4.560560	3.302841550504e-03
4.562000	3.399455167299e-03
4.563440	3.498670971204e-03
4.564880	3.600552024586e-03
4.566320	3.705162709097e-03
4.567760	3.812568747375e-03
4.569200	3.922837224934e-03
4.570640	4.036036612248e-03
4.572080	4.152236787032e-03
4.573520	4.271509056700e-03
4.574960	4.393926181011e-03
4.576400	4.519562394899e-03
4.577840	4.648493431468e-03
4.579280	4.780796545171e-03
4.580720	4.916550535151e-03
4.582160	5.055835768745e-03
4.583600	5.198734205153e-03
4.585040	5.345329419253e-03
4.586480	5.495706625576e-03
4.587920	5.649952702415e-03
4.589360	5.808156216084e-03
4.590800	5.970407445298e-03
4.592240	6.136798405699e-03
4.593680	6.307422874483e-03
4.595120	6.482376415160e-03
4.596560	6.661756402414e-03
4.598000	6.845662047072e-03
4.599440	7.034194421164e-03
4.600880	7.227456483072e-03
4.602320	7.425553102766e-03
4.603760	7.628591087109e-03
4.605200	7.836679205230e-03
4.606640	8.049928213953e-03
4.608080	8.268450883282e-03
